seg,range_start,range_end,range_width,primes_tested,cpu_time_s,cpu_time_h,hits,start_datetime,end_datetime,hit_p,hit_nextprime,hit_gap,hit_pos,hit_type
01,6900000000000,14900000000000,8000000000000,266713336408,4522.2,1.2600,0,2026-03-24_15:13:30,2026-03-24_16:28:53,,,,,
02,14900000000000,22900000000000,8000000000000,261762049678,4576.0,1.2700,0,2026-03-24_16:40:58,2026-03-24_17:57:14,,,,,
03,22900000000000,30900000000000,8000000000000,258739059625,4624.3,1.2800,0,2026-03-24_19:32:16,2026-03-24_20:49:20,,,,,
04,30900000000000,38900000000000,8000000000000,256565223374,4687.6,1.3000,0,2026-03-25_07:55:35,2026-03-25_09:13:42,,,,,
05,38900000000000,46900000000000,8000000000000,254871673771,4687.2,1.3000,0,2026-03-25_09:17:47,2026-03-25_10:35:54,,,,,
06,46900000000000,54900000000000,8000000000000,253487312802,4646.7,1.2900,0,2026-03-25_10:42:05,2026-03-25_11:59:32,,,,,
07,54900000000000,62900000000000,8000000000000,252317998992,4694.7,1.3000,0,2026-03-25_13:24:29,2026-03-25_14:42:44,,,,,
08,62900000000000,70900000000000,8000000000000,251307062131,4633.2,1.2900,0,2026-03-25_15:26:50,2026-03-25_16:44:03,,,,,
09,70900000000000,78900000000000,8000000000000,250417361735,4648.4,1.2900,0,2026-03-25_17:44:29,2026-03-25_19:01:57,,,,,
10,78900000000000,86900000000000,8000000000000,249623702932,4714.0,1.3100,0,2026-03-25_19:03:48,2026-03-25_20:22:22,,,,,
11,86900000000000,94900000000000,8000000000000,248907879998,4736.7,1.3200,0,2026-03-26_08:54:26,2026-03-26_10:13:23,,,,,
12,94900000000000,100000000000000,5100000000000,158334833047,3051.2,0.8500,0,2026-03-26_10:25:09,2026-03-26_11:16:00,,,,,
13,100000000000000,112000000000000,12000000000000,371587500071,7030.0,1.9500,0,2026-03-26_11:22:54,2026-03-26_13:20:04,,,,,
14,112000000000000,124000000000000,12000000000000,370356030767,7197.7,2.0000,0,2026-03-26_14:13:57,2026-03-26_16:13:54,,,,,
15,124000000000000,136000000000000,12000000000000,369251659651,7074.3,1.9700,0,2026-03-26_16:53:03,2026-03-26_18:50:57,,,,,
16,136000000000000,148000000000000,12000000000000,368250236945,7172.0,1.9900,0,2026-03-27_07:47:30,2026-03-27_09:47:02,,,,,
17,148000000000000,160000000000000,12000000000000,367335521040,7152.1,1.9900,0,2026-03-27_09:54:13,2026-03-27_11:53:25,,,,,
18,160000000000000,172000000000000,12000000000000,366493244272,7432.3,2.0600,0,2026-03-27_15:08:51,2026-03-27_17:12:43,,,,,
19,172000000000000,184000000000000,12000000000000,365713222214,7140.7,1.9800,0,2026-03-27_17:26:06,2026-03-27_19:25:06,,,,,
20,184000000000000,196000000000000,12000000000000,364987095025,7301.9,2.0300,0,2026-03-28_08:23:11,2026-03-28_10:24:53,,,,,
21,196000000000000,208000000000000,12000000000000,364308444001,7144.1,1.9800,0,2026-03-28_10:51:25,2026-03-28_12:50:29,,,,,
22,208000000000000,220000000000000,12000000000000,363671138810,7289.5,2.0200,0,2026-03-28_15:52:14,2026-03-28_17:53:44,,,,,
23,220000000000000,232000000000000,12000000000000,363070555702,7342.5,2.0400,0,2026-03-28_18:58:52,2026-03-28_21:01:15,,,,,
24,232000000000000,244000000000000,12000000000000,362503241955,7471.3,2.0800,0,2026-03-29_08:49:20,2026-03-29_10:53:51,,,,,
25,244000000000000,256000000000000,12000000000000,361965176308,7377.1,2.0500,0,2026-03-29_11:03:14,2026-03-29_13:06:11,,,,,
26,256000000000000,268000000000000,12000000000000,361453568247,7387.0,2.0500,0,2026-03-29_14:04:20,2026-03-29_16:07:27,,,,,
27,268000000000000,280000000000000,12000000000000,360966709178,7405.6,2.0600,0,2026-03-29_16:57:49,2026-03-29_19:01:15,,,,,
28,280000000000000,292000000000000,12000000000000,360502150078,7480.2,2.0800,1,2026-03-30_08:52:13,2026-03-30_10:56:54,287902832031253,287902832031277,24,29/44,TRAILING
29,292000000000000,304000000000000,12000000000000,360057238070,7411.6,2.0600,0,2026-03-30_10:59:46,2026-03-30_13:03:18,,,,,
30,304000000000000,316000000000000,12000000000000,359631160041,7970.3,2.2100,0,2026-03-30_14:38:48,2026-03-30_16:51:38,,,,,
31,316000000000000,328000000000000,12000000000000,359222232797,7351.6,2.0400,0,2026-03-30_17:01:43,2026-03-30_19:04:15,,,,,
32,328000000000000,340000000000000,12000000000000,358829174579,7344.5,2.0400,0,2026-03-30_19:05:52,2026-03-30_21:08:17,,,,,
33,340000000000000,352000000000000,12000000000000,358450707977,7433.8,2.0600,0,2026-03-31_07:56:51,2026-03-31_10:00:45,,,,,
34,352000000000000,364000000000000,12000000000000,358086245722,7492.7,2.0800,0,2026-03-31_10:08:19,2026-03-31_12:13:12,,,,,
35,364000000000000,376000000000000,12000000000000,357734234166,7361.2,2.0400,0,2026-03-31_12:17:27,2026-03-31_14:20:08,,,,,
36,376000000000000,388000000000000,12000000000000,357394044022,7434.3,2.0700,0,2026-03-31_15:59:28,2026-03-31_18:03:22,,,,,
37,388000000000000,400000000000000,12000000000000,357065039686,7445.7,2.0700,0,2026-03-31_18:07:36,2026-03-31_20:11:41,,,,,
