# Oracle set for OEIS A052075 (updated)
# Primes p such that nextprime(p) is substring of p^3
# Terms a(1)--a(15): from OEIS A052075 (De Geest 2000, Handler 2006)
# Term a(16): new, computed by C. Corti (2026), see Theorem 3.1
#
# Format: index,p,nextprime_p,p_cubed,match_position
1,11,13,1331,0
2,101,103,1030301,0
3,2239,2243,11224377919,2
4,34297,34301,40343019516073,2
5,43789,43793,83964379378069,4
6,53549,53551,153551511228149,1
7,535487,535489,153548930496746303,1
8,59897017,59897039,214889691497505989703913,14
9,430784719,430784737,79943078473759892945966959,3
10,2549592677,2549592733,16573430415736921632549592733,19
11,2837138669,2837138677,22837138677705447754568672309,1
12,97969345967,97969346063,940309072235302647342697969346063,22
13,100000000019,100000000057,1000000000570000000108300000006859,0
14,328096840219,328096840223,35318816603250425999328096840223459,20
15,4110739763869,4110739763909,69464026243759115461642614110739763909,25
16,287902832031253,287902832031277,23863701656637949988435953863287902832031277,29
